word,frequency,level
anderer,476,A1
gut,463,A1
groß,433,A1
alt,377,A1
erster,348,A1
ganz,343,A1
klein,342,A1
hoch,292,A1
schön,277,A1
letzter,265,A1
jung,220,A1
neu,219,A1
gross,184,A1
mongolisch,183,A1
zweiter,178,A1
pag,152,A1
eigen,138,A1
lang,136,A1
persisch,125,A1
folgend,113,A1
dritter,112,A1
lieb,111,A1
arm,110,A1
gleich,106,A1
einzig,95,A1
nächster,90,A1
_,88,A1
deutsch,84,A1
golden,82,A1
verschieden,80,A1
allgemein,79,A1
christlich,77,A1
schwarz,77,A1
dein,71,A1
grösst,70,A1
wach,69,A1
stark,68,A1
weit,67,A1
übrig,67,A1
|,66,A1
rechter,65,A1
tief,65,A1
gewöhnlich,61,A1
natürlich,61,A1
öffentlich,60,A1
berühmt,57,A1
menschlich,56,A1
schwer,56,A1
weiblich,56,A1
vierter,55,A1
gering,55,A1
reich,54,A1
kurz,52,A1
somnambul,52,A1
geistig,50,A1
heilig,50,A1
halb,50,A1
früh,49,A1
8.,49,A1
voll,48,A1
arabisch,48,A1
heutig,47,A1
social,46,A1
philosophisch,46,A1
gewiß,45,A1
rein,45,A1
häuslich,44,A1
fünfter,44,A1
frei,43,A1
politisch,42,A1
bestimmt,42,A1
weiß,42,A1
fremd,41,A1
chinesisch,41,A1
böse,41,A1
9.,40,A1
7.,40,A1
besonderer,40,A1
wahr,40,A1
oberer,39,A1
blau,39,A1
moralisch,38,A1
i.,38,A1
eigentlich,37,A1
fest,37,A1
falsch,37,A1
gelegen,36,A1
traurig,36,A1
mächtig,36,A1
normal,35,A1
10.,35,A1
gemein,34,A1
französisch,33,A1
gesund,33,A1
vorig,32,A1
schlecht,32,A1
eign,32,A1
Other,32,A1
lateinisch,31,A1
innerer,31,A1
syrisch,31,A1
richtig,31,A1
selber,30,A1
5.,30,A1
griechisch,30,A1
frisch,30,A1
einzeln,29,A1
fein,29,A1
sittlich,29,A1
19.,29,A1
3.,29,A1
türkisch,29,A1
edl,29,A1
18.,28,A1
ägyptisch,28,A1
wirklich,28,A1
vortrefflich,28,A1
ewig,28,A1
akademisch,28,A1
1.,28,A1
genannt,28,A1
24.,28,A1
abnorm,27,A1
künftig,27,A1
grösser,27,A1
seltsam,27,A1
eng,27,A1
unglücklich,27,A1
12.,27,A1
physiologisch,27,A1
männlich,27,A1
feindlich,27,A1
linker,27,A1
wissenschaftlich,26,A1
gegenwärtig,26,A1
herrlich,26,A1
4.,26,A1
gemeinsam,26,A1
übersinnlich,26,A1
20.,26,A1
26.,26,A1
glücklich,25,A1
psychisch,25,A1
eisern,24,A1
ein,24,A1
ehrlich,24,A1
16.,24,A1
trefflich,24,A1
grosse,24,A1
modern,24,A1
unsr,24,A1
Hamburger,24,A1
angenehm,23,A1
wichtig,23,A1
somnambule,23,A1
zwei,23,A1
organisch,23,A1
grün,23,A1
zahlreich,23,A1
mittlerer,23,A1
gegeben,23,A1
offen,23,A1
moslimisch,22,A2
sah,22,A2
siebent,22,A2
scharf,22,A2
bös,22,A2
11.,22,A2
17.,22,A2
gefährlich,22,A2
klug,22,A2
21.,22,A2
13.,22,A2
glänzend,22,A2
elend,22,A2
lustig,21,A2
fromm,21,A2
bisherig,21,A2
englisch,21,A2
spät,21,A2
27.,21,A2
grn,21,A2
rot,21,A2
ruhig,21,A2
gleichzeitig,21,A2
sinnlich,21,A2
bekannt,21,A2
braun,21,A2
leicht,21,A2
künstlich,21,A2
leer,20,A2
2.,20,A2
lebend,20,A2
wild,20,A2
sechster,20,A2
literarisch,20,A2
selbig,20,A2
28.,20,A2
selbstständig,20,A2
wunderschön,20,A2
treu,20,A2
europäisch,19,A2
persönlich,19,A2
göttlich,19,A2
gerecht,19,A2
30.,19,A2
lebendig,19,A2
köstlich,19,A2
whern,19,A2
gesteigert,19,A2
nieder,19,A2
pathologisch,19,A2
südlich,19,A2
dick,19,A2
müsste,18,A2
nördlich,18,A2
westlich,18,A2
geheim,18,A2
ausserordentlich,18,A2
ungeheuer,18,A2
Diener,18,A2
gelb,18,A2
lieblich,18,A2
doppelt,18,A2
jetzig,18,A2
freundlich,17,A2
schnell,17,A2
gelehrt,17,A2
vornehm,17,A2
bloß,17,A2
unterschiedlich,17,A2
byzantinisch,17,A2
wh,17,A2
31.,17,A2
hell,17,A2
körperlich,17,A2
unmittelbar,16,A2
kaiserlich,16,A2
streng,16,A2
sicher,16,A2
grob,16,A2
selten,16,A2
stehend,16,A2
14.,16,A2
achter,16,A2
römisch,16,A2
schwedisch,16,A2
andern,16,A2
gesammt,16,A2
stater,16,A2
websit,16,A2
Archive,16,A2
süß,15,A2
östlich,15,A2
gänzlich,15,A2
unsern,15,A2
sonderbar,15,A2
metaphysisch,15,A2
warm,15,A2
sogenannter,15,A2
hübsch,15,A2
roth,15,A2
materiell,15,A2
gemischt,15,A2
gebildet,15,A2
29.,15,A2
brav,15,A2
blutig,15,A2
fragt,15,A2
armenisch,15,A2
klar,15,A2
notes,15,A2
irdisch,15,A2
täglich,14,A2
mehr,14,A2
sonstig,14,A2
magnetisch,14,A2
vollständig,14,A2
mündlich,14,A2
gegenseitig,14,A2
preussisch,14,A2
medicinisch,14,A2
still,14,A2
religiös,14,A2
flüchtig,14,A2
vernünftig,14,A2
königlich,14,A2
unter,14,A2
Grosse,14,A2
hart,14,A2
siebenjährig,14,A2
bloss,14,A2
spontan,14,A2
gölden,14,A2
ähnlich,14,A2
dasjenig,13,A2
durchschnittlich,13,A2
25.,13,A2
gehörig,13,A2
gewaltig,13,A2
fürchterlich,13,A2
23.,13,A2
schädlich,13,A2
vormalig,13,A2
nah,13,A2
dramatisch,13,A2
besst,13,A2
edel,13,A2
einfach,13,A2
44.,13,A2
tapfer,13,A2
relativ,13,A2
geschichtlich,13,A2
22.,13,A2
günstig,13,A2
liebenswürdig,13,A2
getreu,13,A2
hungrig,13,A2
etlicher,13,A2
kalt,12,A2
erwähnt,12,A2
geschlossen,12,A2
fett,12,A2
36.,12,A2
ansehnlich,12,B1
gedruckt,12,B1
feierlich,12,B1
vollkommen,12,B1
and,12,B1
objektiv,12,B1
ernst,12,B1
weiss,12,B1
gesellig,12,B1
gewaltsam,12,B1
schwach,12,B1
sechst,12,B1
asiatisch,12,B1
unschuldig,12,B1
historisch,12,B1
juridisch,12,B1
katholisch,12,B1
direkt,11,B1
krankhaft,11,B1
kindlich,11,B1
kräftig,11,B1
echt,11,B1
real,11,B1
anerkannt,11,B1
vegetarianisch,11,B1
breit,11,B1
höherem,11,B1
silbern,11,B1
steil,11,B1
grös,11,B1
siegreich,11,B1
wiederholt,11,B1
heftig,11,B1
recht,11,B1
osmanisch,11,B1
mystisch,11,B1
thierisch,11,B1
väterlich,11,B1
billig,11,B1
gesandt,11,B1
alternirend,11,B1
einheitlich,11,B1
gefangen,11,B1
schlau,11,B1
ziemlich,11,B1
wunderbar,10,B1
genau,10,B1
dreizehnter,10,B1
bedeutend,10,B1
äuss,10,B1
geworden,10,B1
entgegengesetzt,10,B1
viert,10,B1
holländisch,10,B1
völlig,10,B1
betreffend,10,B1
deinen,10,B1
acht,10,B1
angeblich,10,B1
praktisch,10,B1
indisch,10,B1
unbewusst,10,B1
15.,10,B1
zwölft,10,B1
zarisch,10,B1
verloren,10,B1
33.,10,B1
untersinnlich,10,B1
chemisch,10,B1
erbärmlich,10,B1
II.,10,B1
schlafend,10,B1
zitternd,10,B1
roh,10,B1
naturgemäss,10,B1
unbekannt,10,B1
eu,10,B1
letzterer,10,B1
merkwürdig,10,B1
eith,10,B1
I.,10,B1
eigenthümlich,10,B1
rechtschaffen,10,B1
humanistisch,10,B1
seiden,10,B1
wachsend,10,B1
uralt,10,B1
bestehend,10,B1
