word,frequency,level
Sohn,987,A1
Herr,770,A1
Mann,688,A1
],633,A1
Vater,576,A1
Frau,542,A1
Tag,526,A1
Zeit,511,A1
Haus,500,A1
Jahr,460,A1
Kind,452,A1
Hand,416,A1
Mensch,414,A1
Gott,403,A1
Leben,385,A1
Mutter,372,A1
Stadt,353,A1
Bruder,328,A1
S.,328,A1
Wort,321,A1
Name,318,A1
Freund,300,A1
Tod,279,A1
Auge,272,A1
Welt,272,A1
Land,266,A1
Fürst,243,A1
Geschichte,236,A1
Prinz,231,A1
der,227,A1
Mongole,225,A1
Kopf,222,A1
Heer,218,A1
Seite,212,A1
Pferd,204,A1
Tochter,204,A1
Weg,199,A1
Mädchen,190,A1
Nacht,187,A1
Familie,186,A1
[,177,A1
Randnote,173,A1
Zimmer,173,A1
König,170,A1
Geld,169,A1
Schwester,165,A1
Chalife,162,A1
Emir,160,A1
Feind,157,A1
Ende,156,A1
Herrschaft,156,A1
Befehl,155,A1
Herz,154,A1
Erde,151,A1
Leute,151,A1
Herrscher,150,A1
Zustand,148,A1
Bewusstsein,142,A1
Sache,141,A1
Stunde,140,A1
Theil,132,A1
-es,132,A1
Arbeit,131,A1
Hof,130,A1
Liebe,130,A1
Fall,129,A1
Fräulein,126,A1
Somnambulismus,124,A1
Grund,123,A1
Recht,122,A1
Professor,122,A1
Baron,121,A1
Art,119,A1
Volk,119,A1
Augenblick,118,A1
Tisch,117,A1
Buch,117,A1
Krieg,115,A1
Abend,113,A1
Lager,113,A1
Person,113,A1
Kraft,112,A1
Weise,111,A1
Thron,111,A1
gesandter,110,A1
Wasser,109,A1
Stimme,108,A1
Tür,108,A1
Sinn,107,A1
Gedanke,107,A1
Sohne,107,A1
Gesicht,106,A1
Ort,106,A1
Fuß,105,A1
Hund,104,A1
Reich,104,A1
Stamm,102,A1
Regierung,102,A1
Werk,101,A1
Geschlecht,99,A1
Antwort,99,A1
Soldat,99,A1
Geist,97,A1
Stelle,97,A1
Morgen,96,A1
Berg,96,A1
Sultan,95,A1
Schule,92,A1
Schlacht,92,A1
Ding,91,A1
Glück,91,A1
Eltern,90,A1
Luft,90,A1
Himmel,89,A1
Gesellschaft,89,A1
Kerl,88,A1
Thier,88,A1
Folge,87,A1
Riese,87,A1
Stück,86,A1
Macht,85,A1
Freude,85,A1
Fenster,84,A1
Arm,84,A1
Gefühl,84,A1
Maus,83,A1
Katze,83,A1
Gold,83,A1
Garten,83,A1
See,82,A1
Platz,82,A1
Truppe,82,A1
Jahrhundert,82,A1
Geschäft,80,A1
Ehre,80,A1
Seele,80,A1
Feuer,79,A1
RN,79,A1
Natur,78,A1
Kirche,78,A1
Schlaf,78,A1
Blick,78,A1
Wein,77,A1
Dienst,77,A1
Junge,77,A1
Dynastie,77,A1
Einwohner,77,A1
Rede,75,A1
Sonne,75,A1
Prinzessin,74,A1
Mittel,74,A1
Mal,73,A1
Philosophie,73,A1
Stein,73,A1
Religion,73,A1
Geschenk,72,A1
Bett,72,A1
Thronbesteigung,71,A1
Schloß,71,A1
Atabeg,71,A1
Statthalter,70,A1
Somnambule,70,A1
Pflicht,70,A1
Frage,70,A1
Jude,69,A1
Mund,69,A1
Feld,69,A1
Mauer,68,A1
Leib,68,A1
Teufel,68,A1
Student,68,A1
Pfarrer,67,A1
Jugend,67,A1
Baur,66,A1
Monat,66,A1
B.,66,A1
Meinung,66,A1
Schritt,66,A1
