word,frequency,level
sagen,1179,A1
kommen,1090,A1
gehen,808,A1
sehen,783,A1
machen,779,A1
haben,708,A1
lassen,707,A1
geben,584,A1
nehmen,535,A1
stehen,479,A1
werden,410,A1
wissen,403,A1
bleiben,397,A1
finden,393,A1
halten,391,A1
liegen,377,A1
tun,298,A1
bringen,292,A1
hören,279,A1
ziehen,266,A1
rufen,266,A1
setzen,262,A1
antworten,246,A1
schlagen,244,A1
erhalten,237,A1
fallen,236,A1
führen,228,A1
sprechen,214,A1
glauben,211,A1
nennen,194,A1
denken,190,A1
fragen,190,A1
tragen,186,A1
stellen,184,A1
sitzen,182,A1
treten,179,A1
erscheinen,177,A1
senden,175,A1
kennen,171,A1
helfen,169,A1
suchen,168,A1
leben,166,A1
scheinen,153,A1
heißen,151,A1
sterben,150,A1
ändern,150,A1
reden,147,A1
bekommen,147,A1
legen,147,A1
folgen,142,A1
werfen,138,A1
beginnen,135,A1
lernen,129,A1
schreiben,128,A1
meinen,126,A1
zeigen,122,A1
laufen,119,A1
befinden,117,A1
lieben,117,A1
verlieren,116,A1
spielen,115,A1
thaen,114,A1
geschehen,110,A1
erzählen,108,A1
verstehen,107,A1
schlafen,104,A1
gehören,102,A1
wollen,102,A1
fahren,102,A1
bitten,100,A1
begeben,99,A1
bestehen,96,A1
erheben,94,A1
verlassen,92,A1
lachen,88,A1
weinen,87,A1
schicken,87,A1
brauchen,87,A1
wenden,86,A1
vergessen,86,A1
treffen,86,A1
gewinnen,85,A1
dienen,83,A1
lesen,83,A1
holen,80,A1
annehmen,80,A1
öffnen,79,A1
erkennen,79,A1
richten,76,A1
gelten,76,A1
warten,76,A1
brechen,74,A1
empfangen,73,A1
springen,72,A1
ergreifen,69,A1
steigen,69,A1
fehlen,69,A1
schenken,69,A1
fing,68,A1
fühlen,68,A1
trinken,68,A1
betrachten,68,A1
befehlen,67,A1
tödten,67,A1
bemerken,67,A1
wohnen,66,A1
essen,65,A1
versprechen,65,A1
verdienen,65,A1
besitzen,64,A1
erfahren,63,A1
stecken,62,A1
fürchten,61,A1
kehren,60,A1
erklären,60,A1
wünschen,59,A1
begegnen,59,A1
behalten,59,A1
merken,58,A1
work,58,A1
stoßen,57,A1
bauen,56,A1
fassen,56,A1
heben,56,A1
pflegen,55,A1
treiben,55,A1
erreichen,54,A1
verschwinden,54,A1
derselbe,54,A1
verlangen,54,A1
begehren,53,A1
gelangen,53,A1
heisst,53,A1
herrschen,53,A1
verstecken,52,A1
danken,52,A1
zwingen,51,A1
bezahlen,51,A1
versuchen,51,A1
bewegen,50,A1
bilden,50,A1
empfinden,50,A1
erwarten,49,A1
fressen,49,A1
gewähren,48,A1
behaupten,48,A1
bieten,48,A1
arbeiten,47,A1
retten,47,A1
tanzen,47,A1
ansehen,47,A1
maßen,47,A1
hoffen,46,A1
erfüllen,46,A1
stehlen,46,A1
dauern,46,A1
thun,46,A1
leisten,46,A1
begleiten,45,A1
wagen,45,A1
aufheben,44,A1
fangen,44,A1
schließen,44,A1
stürzen,44,A1
gesandt,44,A1
vernehmen,43,A1
erweisen,43,A1
schaffen,42,A1
vermögen,42,A1
flüchten,42,A1
singen,42,A1
sahen,42,A1
zurückkehren,42,A1
sinken,42,A1
reichen,41,A1
weißen,41,A1
leiden,41,A1
ward,41,A1
giebt,41,A1
bestimmen,41,A1
kriegen,40,A1
l.,40,A1
hinrichten,40,A1
befehligen,39,A1
eilen,39,A1
beten,39,A1
beweisen,39,A1
reißen,38,A1
verderben,38,A1
gefangen,38,A1
vocabulary,38,A1
aufnehmen,38,A1
verleihen,37,A1
erlauben,37,A1
beschließen,37,A1
füllen,37,A1
versehen,37,A1
besuchen,37,A1
erobern,36,A1
fordern,36,A1
blicken,36,A1
verfolgen,36,A1
anfangen,36,A1
bestätigen,36,A1
lehren,35,A1
begreifen,35,A1
ergeben,35,A1
gebären,35,A1
beschränken,35,A1
hängen,35,A1
fliegen,35,A1
trennen,35,A1
übertragen,34,A1
weisen,34,A1
drehen,34,A1
genügen,34,A1
ankommen,34,A1
einnehmen,33,A1
entstehen,32,A1
beschäftigen,32,A1
kaufen,32,A1
beobachten,32,A1
handeln,32,A1
drücken,31,A1
entscheiden,31,A1
achten,31,A1
erinnern,31,A1
Hast,31,A1
erwähnen,31,A1
aufhören,31,A1
ernennen,31,A1
gestehen,31,A1
schreien,30,A1
wecken,30,A1
rollen,30,A1
satzen,30,A1
liefern,30,A1
verbieten,29,A1
behandeln,29,A1
huldigen,29,A2
versetzen,29,A2
entfernen,29,A2
übergeben,29,A2
gelingen,29,A2
verbinden,29,A2
schieben,29,A2
verbergen,28,A2
beklagen,28,A2
fliehen,28,A2
bemächtigen,28,A2
besetzen,28,A2
erwerben,28,A2
genießen,28,A2
vermeinen,28,A2
plündern,28,A2
nähern,28,A2
theilen,28,A2
derowegen,28,A2
this,28,A2
strecken,27,A2
jagen,27,A2
rechnen,27,A2
verbrennen,27,A2
verschaffen,27,A2
versichern,26,A2
rächen,26,A2
kleiden,26,A2
schießen,26,A2
loben,26,A2
kosten,26,A2
töten,26,A2
anstellen,26,A2
bestrafen,26,A2
greifen,26,A2
begehen,26,A2
gestatten,26,A2
mögen,26,A2
ergehen,26,A2
verrichten,26,A2
verzeihen,25,A2
laden,25,A2
anziehen,25,A2
vollziehen,25,A2
